gene	enhancer	panel_id	importance	initial_rho	importance_x_rho	importance_x_abs_rho	distance	rectified_raw_rho	latent_state_rho	latent_importance_x_rho	latent_importance_x_abs_rho
NEFM	chr8:24999848-25000349	E11	0.0186746486586936	0.2324078703274663	0.0043401353238806	0.0043401353238806	[-81000]	0.1091295679685849	0.452383715956585	0.008448106954403468	0.008448106954403468
NEFM	chr8:25050750-25051251	E12	0.0149525702948247	0.2580329850301713	0.0038582563470471	0.0038582563470471	[-131902]	0.1988272332038899	0.44064301591104144	0.006588745670333406	0.006588745670333406
NEFM	chr8:24957261-24957762	E15	0.0099533082166429	0.2314951203232394	0.002304142283226	0.002304142283226	[-38414]	0.1631553623474501	0.4446641965863593	0.004425879801529924	0.004425879801529924
NEFM	chr8:24767816-24768317	E16	0.0097456703751536	0.221259079075815	0.0021563180521829	0.0021563180521829	[145692]	0.14099381039445658	0.4225179710974733	0.004117720873894651	0.004117720873894651
NEFM	chr8:24961381-24961882	E17	0.0092076047005779	0.2330536686962121	0.0021458660553741	0.0021458660553741	[-42534]	0.25442159401449227	0.41993301014074425	0.0038665771580997437	0.0038665771580997437
NEFM	chr8:24886821-24887322	E18	0.0172889788092632	0.1184858720419419	0.0020484997309302	0.0020484997309302	[26686]	0.12994027864647445	0.3920461691531088	0.0067780779107409145	0.0067780779107409145
NEFM	chr8:24773793-24774294	E19	0.0083655461976463	0.2017642506885265	0.0016878681601683	0.0016878681601683	[139714]	0.252509034115694	0.383997365484638	0.00321234770073621	0.00321234770073621
NEFM	chr8:24766963-24767464	E20	0.0094349871542247	0.1587294932421186	0.0014976107297359	0.0014976107297359	[146544]	0.11638443243696604	0.41948789727311525	0.003957862922124572	0.003957862922124572
NEFM	chr8:24955004-24955505	E21	0.0061793677717337	0.2296416613886391	0.0014190402814323	0.0014190402814323	[-36156]	0.19607445876218338	0.4154110420357821	0.0025669776051782255	0.0025669776051782255
NEFM	chr8:24942377-24942878	E22	0.0061510803708335	0.2298112294986674	0.0014135873427663	0.0014135873427663	[-23530]	0.24376947140498015	0.4369822648503704	0.002687913031723479	0.002687913031723479
NEFM	chr8:25033468-25033969	E23	0.1082023023071614	0.0122923804655358	0.0013300638672065	0.0013300638672065	[-114620]	0.21332891854704	0.28069615258931346	0.030371969958926	0.030371969958926
NEFM	chr8:24999050-24999551	E24	0.0086845490226531	0.1351831506299378	0.0011740046986823	0.0011740046986823	[-80202]	0.22046166696522895	0.3453015415429146	0.0029987881651271277	0.0029987881651271277
NEFM	chr8:24891715-24892216	E25	0.0089313343005474	0.1293202344467942	0.0011550022456694	0.0011550022456694	[21792]	0.1003543213407913	0.4241488323912258	0.003788215015272885	0.003788215015272885
NEFM	chr8:24963464-24963965	E26	0.0045109506251965	0.2143548968156857	0.0009669443558046	0.0009669443558046	[-44616]	0.23483578518658224	0.3290720763999084	0.0014844278887708772	0.0014844278887708772
NEFM	chr8:24832194-24832695	E27	0.0039002701371425	0.2135338221002395	0.0008328395896074	0.0008328395896074	[81314]	0.2192827367764421	0.3359619194972452	0.0013103422418321781	0.0013103422418321781
NEFM	chr8:25034605-25035106	E28	0.0130689914196576	0.0605675648654239	0.0007915569855357	0.0007915569855357	[-115758]	0.1318806904467612	0.38255199032276355	0.004999568679101134	0.004999568679101134
NEFM	chr8:24965559-24966060	E31	0.0056767362607708	0.1024790994050016	0.0005817468195635	0.0005817468195635	[-46712]	0.17509357471534379	0.44105252304514747	0.0025037388504748374	0.0025037388504748374
NEFM	chr8:25010086-25010587	E33	0.0040975533063057	0.1286010518819761	0.0005269496653333	0.0005269496653333	[-91238]	0.13697291353732782	0.4247453242471124	0.001740416607706642	0.001740416607706642
NEFM	chr8:24862389-24862890	E37	0.0021717236112983	0.1006503934283127	0.0002185848358947	0.0002185848358947	[51118]	0.2063898205984142	0.32847847677775754	0.0007133644638215564	0.0007133644638215564
